#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
slr1048|53	1	74	1	73	98.6486	0.986486	33.5	3
hliA|18	1	74	1	73	98.6486	0.986486	33.9	0
hliA|29	1	71	1	71	100	1	32.5	8
ssr1766|106	1	73	2	73	100	1.9726	31.9	14.5
sll1640|13	1	76	1	76	100	1	29.1	0
slr1800|191	1	72	1	72	100	1	32.9	24
cysC|247	1	72	1	71	98.6111	0.986111	32.7	8
slr1611|16	1	75	1	75	100	1	33.1	27
slr1611|224	1	74	2	74	100	1	30.6	15
slr1616|676	1	76	1	76	100	2	32.4	0
slr1617|318	1	73	1	72	98.6301	0.986301	32.2	3
slr1617|468	1	72	1	71	98.6111	0.986111	32.8	40
slr1618|414	1	75	1	74	98.6667	0.986667	32.1	8
slr1618|92	1	75	2	75	100	1	32.5	15.5
slr1619|162	1	72	1	72	100	2	33.1	23
slr1619|178	1	73	2	73	100	1	33.2	15.5
slr1619|207	1	74	1	74	100	2	31.5	42
ccmA|147	1	74	1	74	100	1	32.4	42
ccmA|79	1	76	1	76	100	1	31.9	3
ccmA|64	1	76	1	76	100	1	32.5	24
cbiA|100	1	71	1	71	100	1	32.6	8
cbiA|128	1	75	1	75	100	1	32.6	3
sll0938|137	1	72	2	72	100	1	33.1	1.5
