file_name	sgRNA	numreads
Example_S1_L001_R1	rpl28|61	1
Example_S1_L001_R1	slr1603|37	2
Example_S1_L001_R1	slr1603|173	1
Example_S1_L001_R1	ndhD2|98	1
Example_S1_L001_R1	pleD2|192	4
Example_S1_L001_R1	slr1600|36	2
Example_S1_L001_R1	slr1600|110	1
Example_S1_L001_R1	slr0678|53	3
Example_S1_L001_R1	birA|118	1
Example_S1_L001_R1	slr1609|158	3
Example_S1_L001_R1	slr1609|200	1
Example_S1_L001_R1	slr1609|170	1
Example_S1_L001_R1	slr1770|153	1
Example_S1_L001_R1	slr0670|107	1
Example_S1_L001_R1	slr0670|178	2
Example_S1_L001_R1	sll0922|63	1
Example_S1_L001_R1	sll0922|86	2
Example_S1_L001_R1	sll0922|6	1
Example_S1_L001_R1	metX|32	1
Example_S1_L001_R1	amt2|193	4
Example_S1_L001_R1	amt2|35	2
Example_S1_L001_R1	amt2|18	1
Example_S1_L001_R1	sll0926|136	1
Example_S1_L001_R1	sll0926|33	1
Example_S1_L001_R1	sll0926|100	2
Example_S1_L001_R1	sll0926|195	1
Example_S1_L001_R1	slr1763|134	1
Example_S1_L001_R1	slr1763|82	1
Example_S1_L001_R1	slr1041|93	1
Example_S1_L001_R1	slr1041|10	1
Example_S1_L001_R1	slr1042|137	3
Example_S1_L001_R1	slr1042|45	5
Example_S1_L001_R1	slr1042|29	7
Example_S1_L001_R1	slr1042|15	1
Example_S1_L001_R1	slr1045|20	1
Example_S1_L001_R1	trmD|73	1
Example_S1_L001_R1	trmD|91	1
Example_S1_L001_R1	slr1048|79	3
Example_S1_L001_R1	ssr1766|106	2
Example_S1_L001_R1	slr1800|75	1
Example_S1_L001_R1	slr1800|98	2
Example_S1_L001_R1	slr1800|51	1
Example_S1_L001_R1	sll1191|283	2
Example_S1_L001_R1	sll1191|203	2
Example_S1_L001_R1	slr1611|16	1
Example_S1_L001_R1	slr1612|118	1
Example_S1_L001_R1	slr1616|441	3
Example_S1_L001_R1	slr1617|263	1
Example_S1_L001_R1	slr1619|162	1
Example_S1_L001_R1	slr1619|235	1
Example_S1_L001_R1	slr1619|143	1
Example_S1_L001_R1	ccmA|136	1
Example_S1_L001_R1	ccmA|79	1
Example_S1_L001_R1	cbiA|100	1
Example_S1_L001_R1	cbiA|43	1
Example_S1_L001_R1	cbiA|128	2
Example_S1_L001_R1	sll0938|137	1
Example_S1_L001_R1	sll0938|106	2
Example_S1_L001_R1	sll0939|235	1
Example_S1_L001_R1	sll0939|224	1
Example_S1_L001_R1	sll0939|206	2
Example_S1_L001_R1	slr1298|270	1
Example_S1_L001_R1	slr1298|129	1
Example_S1_L001_R1	sll0930|79	1
Example_S1_L001_R1	sll0930|112	2
Example_S1_L001_R1	sll0930|4	1
Example_S1_L001_R1	sll0931|78	1
Example_S1_L001_R1	sll0931|31	1
Example_S1_L001_R1	sll0931|110	1
Example_S1_L001_R1	sll0932|67	1
Example_S1_L001_R1	sll0932|4	2
Example_S1_L001_R1	sll0932|52	1
Example_S1_L001_R1	sll0932|92	1
Example_S1_L001_R1	sll0933|128	1
Example_S1_L001_R1	slr1290|30	1
Example_S1_L001_R1	sll1193|49	1
Example_S1_L001_R1	sll1193|17	3
Example_S1_L001_R1	sll1193|135	1
Example_S1_L001_R1	sll0936|121	1
Example_S1_L001_R1	slr1293|184	2
Example_S1_L001_R1	slr1293|73	2
Example_S1_L001_R1	sll1515|135	2
Example_S1_L001_R1	sll1515|115	1
Example_S1_L001_R1	sll1515|104	1
Example_S1_L001_R1	sll1515|14	1
Example_S1_L001_R1	gpsA|88	1
Example_S1_L001_R1	gpsA|112	2
Example_S1_L001_R1	sll1511|20	1
Example_S1_L001_R1	sll1510|137	1
Example_S1_L001_R1	sll1512|175	2
Example_S1_L001_R1	slr1056|558	2
Example_S1_L001_R1	slr1056|546	1
Example_S1_L001_R1	ssl2384|130	1
Example_S1_L001_R1	ssl2384|73	1
Example_S1_L001_R1	slr1053|79	1
Example_S1_L001_R1	slr1053|41	8
Example_S1_L001_R1	slr1050|136	2
Example_S1_L001_R1	slr1050|177	1
Example_S1_L001_R1	slr1050|8	1
Example_S1_L001_R1	chlH|95	5
Example_S1_L001_R1	chlH|137	1
Example_S1_L001_R1	slr1753|65	2
Example_S1_L001_R1	slr1753|148	12
Example_S1_L001_R1	frpC|188	2
Example_S1_L001_R1	epsB|145	1
Example_S1_L001_R1	sll1188|306	2
Example_S1_L001_R1	sll1188|76	1
Example_S1_L001_R1	sll1188|249	1
Example_S1_L001_R1	sll1186|10	1
Example_S1_L001_R1	hsp17|21	1
Example_S1_L001_R1	hsp17|44	1
